Souches	Temps (h)	DO600nm	b-Gcl	a-Glc	Uracil	Formate	Succinate	Ethanol	Pyruvate	Acetate	Isoleucine	Valine	Leucine	Alanine	Phenylalanine	Tyrosine
gppARelA AI	0,16	0,544	110,7688561	182,0151076	-0,003721581	0,064646941	0,002509675	0,199413975	0,00388504	0,241870158	0,004756734	0,002882686	0,001254491	0,004884793	-0,008604312	-0,013418634
gppARelA AI	1	1,06	108,4741561	177,2040284	-0,003132649	0,069944107	0,000410888	0,192972254	-0,000294533	0,474974584	0,004227494	0,002982276	0,004119911	0,002511588	0,00302494	-0,010254984
gppARelA AI	2	2,24	107,0277607	174,2404116	0,008450298	0,105137014	0,009215622	0,25480569	0,011316869	0,301469835	0,002079202	0,000253715	0,001006876	0,005259024	-0,00830887	-0,0075553
gppARelA AI	3,25	5	104,4000574	170,3606002	0,017438756	0,47493233	0,04500948	0,484058868	0,016215404	0,506635785	-0,004283875	0,019741162	-0,003952195	0,019817237	0,007020975	0,004488678
gppARelA IP	4	10	95,25736046	156,9375009	0,021624208	0,328452298	0,03153752	0,430282258	0,041336581	0,312551962	0,002024989	0,025167585	0,002225941	0,047390185	0,008734989	0,007035834
gppARelA IP	5	10,8	93,45917658	151,62508	0,033612279	0,63166949	0,083541617	0,493949134	0,490534815	2,852011876	0,017127285	0,237320432	0,020529576	0,433808612	0,065221638	0,035956372
gppARelA IP	6	14,4	83,63617457	137,229193	0,016682069	0,537603456	0,101001113	0,54804246	0,213451847	9,267094367	0,026889016	0,251305419	0,030270397	0,671666348	0,061705256	0,008448048
gppARelA IP	7	18,4	77,36188545	126,9981283	0,050058078	0,9110793	0,169836903	0,798345789	0,042990631	6,47767108	0,010391826	0,112891321	0,020127035	0,125104983	0,086150935	0,024868078
gppARelA IP	8	22,8	67,06191633	109,9792331	0,069532913	1,420426018	0,258676864	1,216554062	0,08287751	1,74174217	0,020490163	0,200177944	0,037642358	0,221491627	0,12117694	0,056370203
gppARelA IP	9	33,2	46,92280053	76,44450999	0,097602805	2,050689375	0,312323432	1,635148888	0,126948574	2,639244993	0,030527526	0,269268112	0,052246348	0,273368544	0,154673841	0,061844928
gppARelA IP	10	59	1,713333081	3,168211845	0,137309217	1,993093989	0,113719552	1,535456227	0,100615779	2,596603377	0,041280843	0,258712432	0,060551001	0,244958674	0,16251616	0,047714066
gppARelA IP	11	60,2	0,005706279	4,598271602	0,142617604	0,420615707	0,10564156	0,671891608	0,065400175	0,371934381	0,064138593	0,064481432	0,056701802	0,118291458	0,114174293	0,015448571
RelA AI	2	1,8	52,95039399	86,6507887	0,005412704	0,029286178	0,000892115	0,122025365	0,000631231	1,319558814	0,007674999	0,004696274	0,002391786	0,004212694	-0,011226961	-0,022940349
RelA AI	3	3,26	52,78820415	87,06285617	0,005680913	0,031777286	-0,00218471	0,053022825	-0,001188869	1,836391818	0,001071693	-0,002365759	0,000840851	-0,000369275	0,000117438	-0,005224491
RelA AI	4	5	53,21108863	87,75029454	0,017425244	0,088678525	0,00699954	0,100184223	0,009636429	1,572692406	0,001932068	0,004899608	0,000287327	0,007245985	0,008004791	-0,010251624
RelA AI	5	8,7	50,99133366	84,24783891	0,006134502	0,166451209	0,026672529	0,171806037	0,006207569	0,161584462	0,003665532	0,006566508	0,000526838	0,007350004	-0,013594623	-0,013683049
RelA IP	6	11,2	50,47363335	83,75390645	0,020662501	0,46765855	0,058723604	0,317371435	0,003629856	0,482975083	0,001574675	0,052146075	0,005024228	0,030076542	0,006823503	0,000207213
RelA IP	6,666	11,2	47,38078779	79,07938298	0,022087823	0,579151012	0,07986403	0,434686648	0,038175287	0,633640821	0,008196506	0,10169122	0,011947748	0,100262974	0,001615266	-0,006098863
RelA IP	7,666	13,2	44,67459192	74,34065763	0,022349834	0,444462331	0,043112023	0,244246069	0,799916395	2,846195848	0,035471181	0,413410375	0,032731432	0,334859491	0,045135118	0,030207959
RelA IP	8,666	14,5	42,9495414	71,80073931	0,038933609	0,627112056	0,072656658	0,306990882	0,149833395	9,949326853	0,04996507	0,70053171	0,047145561	0,742734143	0,083525385	0,04390749
RelA IP	9,6666	23,5	39,62611422	66,50743563	0,042398025	0,805292522	0,087980911	0,389093707	0,041892621	11,51968673	0,027369439	0,361468308	0,042910861	0,162686694	0,066602663	0,055316976
RelA IP	10,6666	31,3	35,18182169	59,59337538	0,048310887	0,68703011	0,074419096	0,388931126	0,016622421	1,652406585	0,013134427	0,035433151	0,031900939	0,058909344	0,068703693	0,067020217
RelA IP	11,6666	45	29,58017303	49,10804214	0,076071148	1,453435103	0,207415071	0,963599691	0,069720319	1,784060765	0,027265028	0,134163791	0,050124115	0,146360951	0,084451203	0,048639699
RpoS AI	0,16	0,772	52,5581989	86,73582814	-0,005035544	0,075240964	-0,006715123	0,05957062	-0,005295153	0,333457156	-0,007733706	-0,004861834	-0,002460724	-0,004652879	-0,019937967	-0,023269803
RpoS AI	1	1,54	51,2304235	84,37959407	-0,005887154	0,100475178	0,005567264	0,1099733	0,00777952	0,96524847	-0,005290126	0,000866202	-0,000320775	-0,001702168	-0,004361484	0,002117721
RpoS AI	2	3,12	48,74859516	80,20497348	0,029225902	0,338641193	0,042397623	0,324979643	0,013680558	0,357288303	-0,000414418	0,01721581	0,00164671	0,013848526	-0,004760016	8,49509E-05
RpoS AI	2,8333	5,02	44,8886791	74,29556746	0,018384886	0,188125933	0,015482432	0,247711296	0,410947167	0,723781836	0,001069038	0,151559892	0,00448117	0,12601722	0,008838247	0,038302613
RpoS IP	4	9,4	43,25481205	72,89261571	0,010718925	0,196826115	0,022833922	0,244020164	0,41187702	0,765890836	0,003545532	0,148156613	0,006044514	0,121780889	0,005311822	0,019817902
RpoS IP	5	10	43,23630651	72,63218321	0,035463873	0,491376166	0,051286441	0,273261001	8,243156483	2,791529676	0,038208963	0,495277458	0,032836364	0,862217169	0,069262185	0,053877848
RpoS IP	6	10	41,34915496	69,18952324	0,003251937	0,540904576	0,026274203	0,236477987	14,02480438	5,254571408	0,039251089	0,596987288	0,0404475	1,585277517	0,11073952	0,105831637
RpoS IP	7	8,2	41,34656661	68,87975292	0,022990368	0,699246262	0,030188923	0,289889821	12,68431179	9,929020732	0,034284228	0,630725809	0,036621781	1,94866805	0,117113147	0,101340411
RpoS IP	8	8,2	33,2031213	66,05445986	0,062808371	0,912032863	0,066934399	0,332789409	3,775378849	15,9367913	0,060864153	0,642772122	0,053345809	1,387338844	0	0,680032535
gppA AI	0,1666	0,988	112,0169927	182,8869057	0,007549325	0,158350871	0,006743576	0,250806942	0,002520418	0,625768728	-0,000642993	0,004613432	0,001226187	0,004217554	-0,003735409	-0,007285582
gppA AI	1	1,9	107,7266397	175,6253187	0,003238766	0,306904437	0,016572629	0,32977714	0,005430554	1,087622288	0,002264049	0,012273378	0,004913456	0,005839988	-0,007291126	-0,008344827
