Condition	mu	qGlucose	qAcetate	qDHIV	qDHMP	qPropionate	Propionyl-CoA
WT	0,65	-8	2,94	0,05	0,01	0,03	1,238570413
pflA	0,634970764	-8,150743484	2,921229366	0,046087793	0,006639988	0,026577868	1,287004616
pflB	0,676177279	-8,029182912	2,587786643	0,052706311	0,007711642	0,028970702	1,114822416
tdcE	0,636578681	-7,535953563	2,952893491	0,045765397	0,006614599	0,028311885	1,359228037
poxB	0,573143126	-7,736611671	3,60475101	0,04366519	0,007179201	0,027338684	1,159790132
ygFG	0,582921136	-8,883580951	4,081905732	0,037929067	0,006854628	0,023013361	1,307594266
ygFH	0,590574732	-7,560099437	3,822167588	0,043688539	0,006818005	0,0272415	1,337955193
PoxBPflB	0,629385132	-7,41498827	3,31135148	0,04634216	0,008604274	0,025957137	1,103018229
WT	0,64	-8,29	3,72	0,11	0	0,05	0
pflA	0,567008159	-7,468727742	3,628720054	0,097561177	0	0,054945693	0
pflB	0,668750808	-8,135667847	3,393174726	0,108424126	0	0,058243115	0
tdcE	0,612017613	-7,844950169	3,494107072	0,096561635	0	0,052251627	0
poxB	0,569525471	-7,248527346	4,666742581	0,102591833	0	0,067854791	0
ygFG	0,557342916	-7,304934573	3,596353534	0,081194803	0	0,036542252	0
ygFH	0,589444148	-7,563653205	4,174358888	0,093041612	0	0,068335633	0
PoxBPflB	0,538588599	-7,272920189	4,045933453	0,093701018	0	0,058533969	0
WT	0,64	-8,29	3,72	0,11	0	0,05	0
pflA	0,567008159	-7,468727742	3,628720054	0,097561177	0	0,054945693	0
pflB	0,668750808	-8,135667847	3,393174726	0,108424126	0	0,058243115	0
tdcE	0,612017613	-7,844950169	3,494107072	0,096561635	0	0,052251627	0
poxB	0,569525471	-7,248527346	4,666742581	0,102591833	0	0,067854791	0,4
ygFG	0,557342916	-7,304934573	3,596353534	0,081194803	0	0,036542252	0
ygFH	0,589444148	-7,563653205	4,174358888	0,093041612	0	0,068335633	0
PoxBPflB	0,538588599	-7,272920189	4,045933453	0,093701018	0	0,058533969	0
